四川成都电信组播,#genre#
北京冬奥纪实 6M1080,http://125.71.247.101:8889/udp/239.93.0.152:5140
湖南金鹰纪实 6M1080,http://125.71.247.101:8889/udp/239.93.0.130:5140
四川公共乡村 8M1080,http://125.71.247.101:8889/udp/239.93.0.52:5140
四川妇女儿童 6M1080,http://125.71.247.101:8889/udp/239.93.0.219:5140
四川影视文艺 8M1080,http://125.71.247.101:8889/udp/239.93.0.166:5140
四川影视文艺 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.195:5140
四川文化旅游 6M1080,http://125.71.247.101:8889/udp/239.93.1.101:5140
四川文化旅游 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.20:5140
四川新闻 8M1080,http://125.71.247.101:8889/udp/239.93.0.47:5140
四川经济 6M1080,http://125.71.247.101:8889/udp/239.93.1.102:5140
四川经济 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.16:5140
峨眉电影 4M1080,http://125.71.247.101:8889/udp/239.93.1.54:5140
峨眉电影 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.18:5140
成都公共 8M1080,http://125.71.247.101:8889/udp/239.93.1.231:5140
成都新闻综合 8M1080,http://125.71.247.101:8889/udp/239.93.1.210:2178
熊猫体娱 8M1080,http://125.71.247.101:8889/udp/239.93.0.94:5140
熊猫卡通 8M1080,http://125.71.247.101:8889/udp/239.93.1.172:5140
熊猫少儿 8M1080,http://125.71.247.101:8889/udp/239.93.1.189:5140
熊猫影院 8M1080,http://125.71.247.101:8889/udp/239.93.0.214:5140
熊猫新闻 8M1080,http://125.71.247.101:8889/udp/239.93.1.112:5140
熊猫爱生活 8M1080,http://125.71.247.101:8889/udp/239.93.1.190:5140
熊猫频道 4M1080,http://125.71.247.101:8889/udp/239.93.0.211:9148
花儿高清电影 4M1080,http://125.71.247.101:8889/udp/239.93.0.224:1281
绵阳新闻综合 7M1080,http://125.71.247.101:8889/udp/239.93.1.60:5140
百视通体育 8M1080,http://125.71.247.101:8889/udp/239.93.1.184:5140
百视通体育 8M1080,http://125.71.247.101:8889/udp/239.93.1.187:5140
Channel[V] 576,http://125.71.247.101:8889/udp/239.93.0.157:2194
Channel[V] 576,http://125.71.247.101:8889/udp/239.93.1.7:2194
CCTV1 576,http://125.71.247.101:8889/udp/239.93.0.93:2102
CCTV1 576,http://125.71.247.101:8889/udp/239.93.1.109:5140
CCTV1 576,http://125.71.247.101:8889/udp/239.93.1.158:4120
CCTV1 576,http://125.71.247.101:8889/udp/239.93.0.1:8000
CCTV1 576,http://125.71.247.101:8889/udp/239.93.0.1:8000
CCTV2 576,http://125.71.247.101:8889/udp/239.93.0.59:5140
CCTV3 576,http://125.71.247.101:8889/udp/239.93.0.109:5140
CCTV4 576,http://125.71.247.101:8889/udp/239.93.0.60:5140
CCTV5 576,http://125.71.247.101:8889/udp/239.93.0.110:5140
CCTV6 576,http://125.71.247.101:8889/udp/239.93.0.111:5140
CCTV7 576,http://125.71.247.101:8889/udp/239.93.0.61:5140
CCTV8 576,http://125.71.247.101:8889/udp/239.93.0.112:5140
CCTV9 576,http://125.71.247.101:8889/udp/239.93.1.2:5140
CCTV10 576,http://125.71.247.101:8889/udp/239.93.0.63:5140
CCTV11 576,http://125.71.247.101:8889/udp/239.93.0.3:5140
CCTV12 576,http://125.71.247.101:8889/udp/239.93.0.65:5140
CCTV13 576,http://125.71.247.101:8889/udp/239.93.0.66:5140
CCTV13 576,http://125.71.247.101:8889/udp/239.93.0.66:5140
CCTV14 576,http://125.71.247.101:8889/udp/239.93.0.67:5140
CCTV15 576,http://125.71.247.101:8889/udp/239.93.0.68:5140
CGTN 576,http://125.71.247.101:8889/udp/239.93.0.62:5140
IPTV5+ 576,http://125.71.247.101:8889/udp/239.93.0.135:9008
IPTV5+ 576,http://125.71.247.101:8889/udp/239.93.1.17:9008
IPTV少儿动画 576,http://125.71.247.101:8889/udp/239.93.0.193:9000
IPTV收视指南 576,http://125.71.247.101:8889/udp/239.93.0.195:8012
IPTV热播剧场 576,http://125.71.247.101:8889/udp/239.93.0.56:9020
IPTV经典电影 576,http://125.71.247.101:8889/udp/239.93.0.57:9024
IPTV魅力时尚 576,http://125.71.247.101:8889/udp/239.93.0.190:9012
